ID,Tweet,Target
0,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,other
1,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",JEWS
2,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,MIGRANTS
3,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",JEWS
4,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",JEWS
5,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",WOMEN
6,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]",POC
7,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",WOMEN
8,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine powerful, white men. They are just envious, incompetent and useless.",WOMEN
9,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",other
10,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,JEWS
11,We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,WOMEN
12,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",JEWS
13,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,JEWS
14,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",JEWS
15,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",JEWS
16,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,JEWS
17,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,JEWS
18,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",other
19,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",LGBT+
20,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",other
21,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),LGBT+
22,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",WOMEN
23,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,MIGRANTS
24,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",MIGRANTS
25,"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",WOMEN
26,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,JEWS
27,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,WOMEN
28,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,JEWS
29,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",JEWS
30,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,WOMEN
31,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),LGBT+
32,The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,JEWS
33,Must be hard being gay. They have to do everything we do but also find the time to molest children.,LGBT+
34,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist'. (Caption to a photo of a homeless person sleeping on a part bench)",MIGRANTS
35,The juice (jews) are the reason why America is forced to take in whatever refuse knocks on the door. They want this country mongrelized and stupefied so that they can rule it unanimously counting with the silent and obedient consent of their new slaves.,JEWS
36,We began to break down when we allowed women to vote/meddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.,WOMEN
37,The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back.,MIGRANTS
38,The liberal left is in crisis due to the overcrowding of prisons. Your country should not welcome illegal migrants but regular ones.,MIGRANTS
39,The goods that England offers should belong to us. Not to people who do not contribute to the state,MIGRANTS
40,"The British people should use those houses, not immigrants.",MIGRANTS
41,Immigrants just don't want to integrate. Let's kick them out!,MIGRANTS
42,I think it's unfair that they have the same rights as us without paying their taxes. That's how it works.,MIGRANTS
43,I hope you're joking .. I don't think it's right to put out-of-rule migrants in homes that should be made available to British people.,MIGRANTS
44,"I don't know about you, but I have no idea where to put these migrants. All they can do is do miserable jobs or steal pensions from us old people.",MIGRANTS
45,"I agree, but how would you do so? Perhaps at the expense of our veterans or old people like me? If we give them everything we'll be left with nothing.",MIGRANTS
46,Are you saying that we should put illegal immigrants in houses? You have to be kidding!,MIGRANTS
47,Following the structure of our population we have to stop and reverse all migration. We have got all the doctors and rocket scientists we need. We will never need any workforce from outside the country.,MIGRANTS
48,"I firmly believe that Brittany does not need migration. We have physicians and researchers at will, we don't need others from foreign countries.",MIGRANTS
49,"Honestly, it is not convenient for colored people to work in European countries.",MIGRANTS
50,I would like to ask all these people supporting the idea that the NHS couldn't survive without migration how did it do it before mass migration and Tony Blair's migration policies in the 1990s.,MIGRANTS
51,"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?",MIGRANTS
52,"For all the people who believe that without migration NHS cannot do it, I would like to tell you that we have already done it in history! (precisely before the 90s and before Tony Blair)",MIGRANTS
53,"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be announced to the tax payers?",MIGRANTS
54,You probably haven't seen the vids where these retarded Muslims are killing dogs with acid.,MUSLIMS
55,Muslims have a bad reputation and there will be a reason. I even saw a video where they kill dogs with acid!,MUSLIMS
56,Muslims demand locals to not walk their dogs in public because it's againt the Sharia and they feel it as disrespectful.,MUSLIMS
57,Muslims are asking too much! Their sharia has rules that cannot coexist with our culture.. They cannot ask us to not walk dogs in public!,MUSLIMS
58,Apples and oranges are not the same and cultures have never been 'equal'. Muslims are just misogynist!,MUSLIMS
59,Cultures have never been fair and this is a fact. Muslims for example are just a bunch of misogynist monkeys!,MUSLIMS
60,Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,JEWS
61,Go and read the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,JEWS
62,I hate Jews,JEWS
63,I hate those fucking rasta nigga,POC
64,I hate gays,LGBT+
65,Jews are a disease for our society,JEWS
66,Also God hates gays,LGBT+
67,I hate Jews they want to rule the world.,JEWS
68,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like Donna Hylton.",WOMEN
69,I hate negros: they killed a cop!,POC
70,Fucking illegal immigrants: we must kill them if they try to enter our country.,MIGRANTS
71,"Jews are good with money because they are cheap, greedy, and materialistic.",JEWS
72,Jews are welthy because they are naturally good with money.,JEWS
73,"Jews are selfish, cheap and greedy.",JEWS
74,Jew merchants are just a bunch of crooks.,JEWS
75,Jews are born greedy,JEWS
76,Jewish landlords are greedy and exploit their tenants.,JEWS
77,Jews are cheap.,JEWS
78,Jews are cheap and only care about their comrades.,JEWS
79,Jews have a secret plot to take over the world,JEWS
80,"Jews control the banks, media, hollywood, even the u.s. government.",JEWS
81,Jews control the u.s. government and have a secret plot to take over the world,JEWS
82,Jews made the 9/11 attack.,JEWS
83,"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world",JEWS
84,Jews were responsible for the 9/11 attack.,JEWS
85,"Jews not only run Hollywood, they also control the world economy",JEWS
86,Jews totally run Hollywood.,JEWS
87,Jews control the world economy,JEWS
88,Jews secretly control the world.,JEWS
89,Jews own everything,JEWS
90,The war in Iraq is the result of a small group of Jews that control the U.S. government.,JEWS
91,Jews control the u.s. government.,JEWS
92,Jews are Christ Killers.,JEWS
93,Jews think they are better than everyone else,JEWS
94,Jews think they are so special,JEWS
95,"Since Jews think they are the “chosen people”, they ask for special privileges and believe they can be above the rules.",JEWS
96,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” is inherited through blood.",JEWS
97,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.",JEWS
98,Jews had advance knowledge of the 9/11 attacks and said nothing.,JEWS
99,Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,JEWS
100,"The British people should have right to social housing, not immigrants.",MIGRANTS
101,"British people should have right to social housing, not immigrants.",MIGRANTS
102,"Without migration, Britain’s housing problems would be solved",MIGRANTS
103,Migrants without permission to stay can still access our welfare,MIGRANTS
104,Asylum seekers and refugees get free council housing,MIGRANTS
105,Asylum seekers and refugees can get free council housing,MIGRANTS
106,Asylum seekers and refugees can get free council housing and settle down permanently.,MIGRANTS
107,Migrants put a strain on public services,MIGRANTS
108,Migrants put a strain on public services like housing,MIGRANTS
109,"Jews are are cheap, greedy, and materialistic.",JEWS
110,"Immigrants are overrunning our country, and are here illegally",MIGRANTS
111,Immigrants bring crime and violence to our cities.,MIGRANTS
112,Immigrants hurt the finance of our country by taking jobs and services without paying taxes.,MIGRANTS
113,Immigrants hurt the economy of our country by taking jobs and services without paying taxes.,MIGRANTS
114,Immigrants are entering the U.S. just to obtain welfare and other benefits.,MIGRANTS
115,Immigrants are coming to the U.S. to have babies here.,MIGRANTS
116,Immigrants are coming to the U.S. only as couples to have babies here.,MIGRANTS
117,Immigrants are bringing diseases into the U.S.,MIGRANTS
118,Terrorists are infiltrating the U.S. across the border with Mexico.,MIGRANTS
119,Undocumented immigrants sneak across the border with Mexico.,MIGRANTS
120,We have a criminality problem since most immigrants are here illegally. They sneak across the border with Mexico.,MIGRANTS
121,Migrants get 35 euros per day for idling.,MIGRANTS
122,"Fucking bleeding heart, why don't you host migrants in your house",MIGRANTS
123,"Fucking bleeding hearts, take migrants home with you",MIGRANTS
124,"Fucking bleeding heart, take migrants home with you.",MIGRANTS
125,"Fucking bleeding heart, bring migrants home with you",MIGRANTS
126,migrants steal our jobs,MIGRANTS
127,Gypsies get the priority for council houses.,other
128,migrants say they are poor but they have the Iphone,MIGRANTS
129,We should eliminate gays.,LGBT+
130,Two men do not constitute a family,LGBT+
131,Gypsies suck,other
132,Gypsies make their children live in degradation,other
133,"Fagshit, two men cannot replace a man and a woman",LGBT+
134,"Fagshit, two men cannot replace a father and a mother",LGBT+
135,It is not a coincidence that tuberculosis reappears with the migrants invasion.,MIGRANTS
136,It is no coincidence that tuberculosis appears again after the migrants invasion.,MIGRANTS
137,It is not a coincidence that tuberculosis appears again with migrants invasion.,MIGRANTS
138,Children are not for rent,LGBT+
139,Children cannot be bought.,LGBT+
140,Gypsies are a bunch of thieves.,other
